"b5.std_FD","FD","adj.fd","pred.fd"
0.80225894859231,2.31,1.23558569167198,1.52430704556018
0.989800001509992,2.85,1.28282117534733,1.96786038981579
0.916867369819782,2.64,1.35805895689711,1.79536742260528
0.909921404896905,2.62,1.19365861360056,1.77893952096618
0.986327019048554,2.84,3.1005748646778,1.95964643899625
0.951597194434168,2.74,3.04292553401998,1.87750693080076
0.906448422435467,2.61,2.7980757412355,1.77072557014663
0.854353685513888,2.46,2.90124511966703,1.64751630785341
0.80225894859231,2.31,3.54491314416302,1.52430704556018
0.934232282126975,2.69,2.88724474791291,1.83643717670302
0.979381054125677,2.82,2.5130465061868,1.94321853735715
0.847407720591011,2.44,1.19634629466174,1.63108840621431
0.836988773206695,2.41,1.27331163479672,1.60644655375567
0.788367018746555,2.27,1.25058162775216,1.49145124228199
0.757110176593608,2.18,1.11243543155874,1.41752568490605
0.774475088900801,2.23,1.14390983984089,1.4585954390038
0.861299650436765,2.48,1.6906114640974,1.6639442094925
0.757110176593608,2.18,1.40202677052678,1.41752568490605
0.989800001509992,2.85,1.12228225543739,1.96786038981579
0.760583159055047,2.19,0.950883265887656,1.4257396357256
0.725853334440661,2.09,1.10831351439244,1.34360012753012
0.930759299665537,2.68,1.13283309352027,1.82822322588347
0.830042808283818,2.39,1.41864640671124,1.59001865211657
0.843934738129573,2.43,1.09509769098628,1.62287445539476
0.868245615359643,2.5,1.36621074381578,1.6803721111316
0.85088070305245,2.45,1.34698744287138,1.63930235703386
0.809204913515187,2.33,1.6478471969118,1.54073494719928
0.847407720591011,2.44,1.60924661542224,1.63108840621431
0.878664562743958,2.53,1.26293201008153,1.70501396359025
0.833515790745257,2.4,1.67048160468333,1.59823260293612
0.830042808283818,2.39,1.14753352711542,1.59001865211657
0.823096843360941,2.37,1.20880946274585,1.57359075047747
0.934232282126975,2.69,0.86606098323512,1.83643717670302
0.955070176895607,2.75,1.74674946443227,1.88572088162031
0.889083510128274,2.56,1.63483462061341,1.72965581604889
0.882137545205397,2.54,1.65581667013109,1.7132279144098
0.805731931053748,2.32,1.27806790994286,1.53252099637973
0.868245615359643,2.5,1.34454612834521,1.6803721111316
0.944651229511291,2.72,2.31081612857357,1.86107902916167
0.913394387358344,2.63,1.92779546878125,1.78715347178573
1.08704351043027,3.13,1.94008416627932,2.19785101276315
1.00716491381719,2.9,2.14822973120271,2.00893014391354
0.993272983971431,2.86,2.05729735761189,1.97607434063534
0.711961404594907,2.05,1.85616445772185,1.31074432425193
0.746691229209293,2.15,2.1797635049824,1.39288383244741
