banner.arg,banner.vd,value,se,x,z1,z2,z_LDH
0,1,2.763756758,0.303666783,0,0.911095231,2.00708478,9.101281109
0.166666667,1,-0.110867041,2.318891971,0.166666667,-0.519291781,0.53693583,-0.047810352
0.333333333,1,-3.032402001,3.751619406,0.333333333,-1.973021367,-0.95720457,-0.80829148
0.5,1,-2.369882766,7.292158012,0.5,-1.643357739,-0.618376944,-0.324990594
0.666666667,1,-1.510738876,10.37279038,0.666666667,-1.215855447,-0.178990932,-0.145644404
0.833333333,1,-1.652511989,12.61435078,0.833333333,-1.286400476,-0.251496973,-0.13100254
1,1,-2.21262402,14.87434573,1,-1.565107198,-0.537951192,-0.148754376
0,2,2.763756758,0.303666783,0,0.911095231,1.536883667,9.101281109
0.166666667,2,0.494692929,1.233701243,0.333333333,-0.217970573,0.168138358,0.400982759
0.333333333,2,-2.415872383,1.203136549,0.666666667,-1.66624176,-1.587573652,-2.00797855
0.5,2,-1.314663206,3.668149453,1,-1.118289953,-0.923301949,-0.358399575
0.666666667,2,0.493437784,6.060165299,1.333333333,-0.218595122,0.167381229,0.081423156
0.833333333,2,0.828079562,6.859130741,1.666666667,-0.052080375,0.369243935,0.120726604
1,2,0.66227691,7.866716084,2,-0.134582287,0.269228413,0.084187214
0,3,2.763756758,0.303666783,0,0.911095231,1.077857834,9.101281109
0.166666667,3,0.796197517,0.695868371,0.5,-0.067944595,-0.062629527,1.14417834
0.333333333,3,-2.030676177,0.406628624,1,-1.474571584,-1.701214864,-4.993933185
0.5,3,-0.777536612,1.852104753,1.5,-0.851020579,-0.974837835,-0.419812438
0.666666667,3,1.485742699,3.844427881,2,0.275166901,0.33706241,0.386466529
0.833333333,3,2.035534601,4.011022757,2.5,0.548738419,0.655746952,0.507485179
1,3,2.056699385,4.567886535,3,0.559269826,0.66801503,0.450251855
0,4,2.763756758,0.303666783,0,0.911095231,0.801456917,9.101281109
0.166666667,4,0.972920369,0.397708877,0.666666667,0.019991111,-0.18659252,2.44631293
0.333333333,4,-1.761241694,0.94344644,1.333333333,-1.340503402,-1.695098435,-1.866816831
0.5,4,-0.440933659,0.805210247,2,-0.683529969,-0.966651315,-0.547600656
0.666666667,4,2.045156559,2.460578786,2.666666667,0.553526219,0.40498713,0.831168898
0.833333333,4,2.727188077,2.336636431,3.333333333,0.892898984,0.781281057,1.167142667
1,4,2.870984518,3.100994692,4,0.964450803,0.860617167,0.92582697
0,5,2.763756758,0.303666783,0,0.911095231,0.62981158,9.101281109
0.166666667,5,1.088074576,0.264119909,0.833333333,0.077290811,-0.260907715,4.119623473
0.333333333,5,-1.563193961,1.391636141,1.666666667,-1.241956627,-1.67020601,-1.123277784
0.5,5,-0.2059809,0.36935977,2.5,-0.566619584,-0.948770959,-0.5576701
0.666666667,5,2.394804215,1.539784551,3.333333333,0.727507756,0.433692559,1.555285259
0.833333333,5,3.169963755,1.355418775,4.166666667,1.113220189,0.845733438,2.338733839
1,5,3.404959912,2.790909619,5,1.230152169,0.970647108,1.220017979
0,7,2.763756758,0.303666783,0,0.911095231,0.514542111,9.101281109
0.166666667,7,1.168818513,0.267941238,1.166666667,0.11746827,-0.31027017,4.362219566
0.333333333,7,-1.412433529,1.714117171,2.333333333,-1.166939589,-1.645148428,-0.824000572
0.5,7,-0.031460974,0.65180794,3.5,-0.479780035,-0.930987158,-0.048267246
0.666666667,7,2.631446441,0.927684056,4.666666667,0.845258805,0.446118663,2.836576121
0.833333333,7,3.478067049,1.058253077,5.833333333,1.266529624,0.883943185,3.286611798
1,7,3.783318005,3.04025716,7,1.418419761,1.041801797,1.244407235
0,8,2.763756758,0.303666783,0,0.911095231,0.431851109,9.101281109
0.166666667,8,1.228514792,0.331316086,1.333333333,0.147172603,-0.345570543,3.707984144
0.333333333,8,-1.294362764,1.954498687,2.666666667,-1.108188635,-1.623114855,-0.662247958
0.5,8,0.103582299,0.998508231,4,-0.412583714,-0.915218129,0.10373705
0.666666667,8,2.80185218,0.605298295,5.333333333,0.930051172,0.451142013,4.628878359
0.833333333,8,3.706666967,1.28942689,6.666666667,1.380278892,0.909325559,2.874662375
1,8,4.066590188,3.431352484,8,1.559373458,1.091584846,1.185127499
