"Branch","emmean","SE","df","lower.CL","upper.CL"
"1",5.59240381902142,0.0828989094482628,709,5.42964710133167,5.75516053671117
"2",5.21184649790449,0.0810109714334379,709,5.05279639826967,5.37089659753932
"3",4.92550341764203,0.103803174314312,709,4.72170503175713,5.12930180352693
"4",4.73650021414762,0.137585914152779,709,4.4663756499418,5.00662477835345
"5",4.81479089200581,0.168992966166192,709,4.48300437431911,5.14657740969251
"6",5.62118526762689,0.204969952260615,709,5.21876457383257,6.02360596142121
"7",5.66981631333115,0.223524574747256,709,5.23096704075338,6.10866558590892
"8",6.13935913970909,0.406007137951975,709,5.34223901386577,6.93647926555241
"9",6.52638898120824,0.5675907793523,709,5.41202918017851,7.64074878223797
"10",7.23551963877353,0.577290970101226,709,6.10211530244451,8.36892397510254
