,b1.std_FL,FL,adj.fl,pred.fl
1,1.359316169,12.11,0.807682395,1.093141712
2,1.018084034,9.07,0.828368804,0.894503065
3,1.039411043,9.26,0.794915952,0.865710724
4,0.802569002,7.15,1.103448449,1.493746879
5,1.196557421,10.66,0.095988855,0.82295156
6,1.315539678,11.72,0.198225612,0.989010821
7,1.162883197,10.36,0.194767574,0.807001783
8,1.17186299,10.44,0.213525991,0.809915726
9,1.079820111,9.62,0.199217796,0.826224289
10,1.009104241,8.99,0.217116926,0.90826988
11,1.282987929,11.43,0.254781022,0.926586752
12,0.963082802,8.58,0.244026463,0.994112967
13,1.069717844,9.53,0.055689543,0.834246708
14,1.150535981,10.25,3.372339739,0.804585567
15,1.355948747,12.08,3.382349856,1.084309782
16,1.08767743,9.69,3.193273225,0.820836931
17,1.031553724,9.19,3.236357034,0.875679203
18,0.729608183,6.5,3.154265026,1.823738171
19,1.337989161,11.92,0.25228606,1.039519541
20,1.212272058,10.8,0.256435279,0.835082448
21,1.15278093,10.27,0.190343213,0.804887902
22,1.070840318,9.54,0.026380117,0.833294449
23,1.001246922,8.92,0.157952049,0.921114876
24,1.048390836,9.34,-0.051906835,0.855231358
25,1.489523168,13.27,1.214123507,1.539689197
26,1.428909565,12.73,1.162820406,1.306335916
27,0.972062595,8.66,0.937155549,0.9753541
28,1.096657223,9.77,1.010599377,0.815593131
29,1.084310008,9.66,1.170488798,0.82305448
30,0.905836621,8.07,1.182235076,1.136598737
31,1.06859537,9.52,0.859693248,0.835214186
32,0.911448992,8.12,0.994581543,1.120879282
33,1.240333912,11.05,1.571764968,0.864164337
34,1.17747536,10.49,1.573831405,0.81223158
35,1.254926075,11.18,1.42134155,0.883046177
36,0.991144655,8.83,1.359304076,0.938725687
37,0.97879744,8.72,1.42800232,0.961924176
38,0.941755794,8.39,1.360185544,1.042569121
39,1.410949979,12.57,1.053265758,1.245717219
40,1.175230412,10.47,1.16869078,0.811259579
41,1.436766884,12.8,1.260955957,1.33408178
42,1.195434947,10.65,0.817587281,0.822199216
43,1.252681127,11.16,2.253430803,0.879973862
44,1.296457618,11.55,2.229032415,0.950864995
45,0.783486941,6.98,2.113617424,1.573842669
46,0.972062595,8.66,1.884335113,0.9753541
47,1.262783394,11.25,0.259935195,0.894278699
48,1.27513061,11.36,0.215167637,0.913436552
49,1.314417204,11.71,0.207237453,0.986645191
50,1.168495567,10.41,0.131148981,0.80870885
51,1.059615577,9.44,0.129817708,0.84350192
52,1.079820111,9.62,-0.074894611,0.826224289
53,1.031553724,9.19,0.06084963,0.875679203
54,0.892366932,7.95,0.585178106,1.175877835
55,1.061860525,9.46,0.68215418,0.841338668
56,1.180842783,10.52,0.639741342,0.813803728
57,1.021451457,9.1,0.261559914,0.889591634
58,1.029308776,9.17,0.369612782,0.878664316
59,0.983287336,8.76,0.207760181,0.953275286
60,0.878897242,7.83,0.108704274,1.217348567
61,1.501870384,13.38,1.577407561,1.592665156
62,1.150535981,10.25,1.638940076,0.804585567
63,1.185332679,10.56,0.654336216,0.816113001
64,1.178597835,10.5,1.569207137,0.812740409
65,1.103392068,9.83,1.097975706,0.812299507
66,0.958592905,8.54,0.891735998,1.003857672
67,1.08206506,9.64,0.758092,0.824608945
68,0.95971538,8.55,0.751462803,1.001398666
69,0.954103009,8.5,0.569743261,1.013845892
70,0.919306311,8.19,0.554371797,1.09951127
71,0.89461188,7.97,0.578331199,1.169179122
72,0.860937656,7.67,0.67550754,1.276052081
73,0.822773536,7.33,0.611356803,1.413733768
74,1.172985464,10.45,1.170967138,0.810348457
75,1.132576395,10.09,1.033379624,0.804358519
76,1.104514542,9.84,0.979749054,0.811803838
77,1.043900939,9.3,0.947502216,0.860349284
78,1.028186301,9.16,0.77942764,0.880179703
79,1.015839086,9.05,0.873769584,0.897853451
80,1.010226715,9,0.819490651,0.90649576
81,0.900224251,8.02,0.843903437,1.152698684
82,1.007981767,8.98,2.015335774,0.910059221
83,0.967572699,8.62,1.961149288,0.984611776
84,0.988899707,8.81,1.871465746,0.942806617
85,0.941755794,8.39,1.803481835,1.042569121
86,0.904714147,8.06,1.738553942,1.139788287
87,0.902469199,8.04,1.835820988,1.146213046
88,0.794711683,7.08,1.748027991,1.52619481
89,1.181965257,10.53,1.184921969,0.814358217
90,1.160638249,10.34,1.309224475,0.806425494
91,1.336866687,11.91,1.182571829,1.036849518
92,1.077575163,9.6,1.161007321,0.827900511
93,0.887877035,7.91,0.775774433,1.189457898
94,1.172985464,10.45,0.207541451,0.810348457
95,1.151658456,10.26,0.18436502,0.804729124
96,1.254926075,11.18,0.225578128,0.883046177
97,1.197679895,10.67,0.214184998,0.823719124
